Printing matrix:
     0.00     1.00     0.00
    -0.01  3059.37    -0.05
    -0.04   776.77    -0.11
    -0.08   352.48    -0.16
    -0.13   205.41    -0.22
    -0.19   136.15    -0.29
    -0.25    97.16    -0.36
    -0.32    72.59    -0.43
    -0.39    55.90    -0.51
    -0.47    43.98    -0.60
    -0.56    35.18    -0.70
    -0.66    28.54    -0.81
    -0.76    23.45    -0.94
    -0.89    19.54    -1.08
    -1.02    16.52    -1.23
    -1.17    14.22    -1.41
    -1.35    12.49    -1.60
    -1.54    11.22    -1.83
    -1.76    10.34    -2.08
    -2.00     9.78    -2.36
    -2.28     9.51    -2.68
    -2.59     9.48    -3.04
    -2.95     9.68    -3.45
    -3.35    10.09    -3.91
    -3.80    10.69    -4.43
    -4.31    11.49    -5.02
    -4.88    12.49    -5.68
    -5.53    13.69    -6.42
    -6.26    15.11    -7.26
    -7.08    16.76    -8.21
    -8.01    18.65    -9.27
    -9.05    20.82   -10.47
   -10.23    23.29   -11.83
   -11.56    26.09   -13.35
   -13.06    29.26   -15.07
   -14.74    32.85   -17.01
   -16.64    36.90   -19.19
   -18.78    41.47   -21.65
   -21.20    46.63   -24.42
   -23.91    52.45   -27.54
   -26.97    59.00   -31.05
   -30.42    66.38   -35.00
   -34.30    74.69   -39.45
   -38.66    84.06   -44.46
   -43.58    94.60   -50.10
   -49.12   106.48   -56.46
   -55.36   119.84   -63.60
   -62.38   134.89   -71.65
   -70.28   151.83   -80.71
   -79.17   170.90   -90.91
   -89.18   192.37  -102.39
  -100.45   216.53  -115.30
  -113.14   243.72  -129.84
  -127.41   274.33  -146.21
  -143.48   308.78  -164.62
  -161.57   347.55  -185.35
  -181.92   391.18  -208.68
  -204.83   440.29  -234.93
  -230.61   495.55  -264.47
  -259.63   557.75  -297.72
  -292.28   627.74  -335.13
  -329.02   706.50  -377.23
  -370.37   795.14  -424.61
  -416.91   894.88  -477.92
  -469.27  1007.12  -537.92
  -528.20  1133.43  -605.43
  -594.51  1275.56  -681.40
  -669.13  1435.50  -766.89
  -753.09  1615.47  -863.08
  -847.58  1817.98  -971.33
  -953.90  2045.86 -1093.13
 -1073.54  2302.29 -1230.19
 -1208.16  2590.83 -1384.41
 -1359.64  2915.50 -1557.94
 -1530.10  3280.84 -1753.20
 -1721.90  3691.92 -1972.92
 -1937.72  4154.48 -2220.15
 -2180.56  4674.96 -2498.33
 -2453.81  5260.61 -2811.35
 -2761.28  5919.60 -3133.75
    -1.00     1.02     0.00
